id_partido,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,anio,total_goles,diferencia_goles,ganador
1,1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,3,3,Visitante
2,1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,1930,5,3,Local
3,1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,1930,3,1,Visitante
4,1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,1930,4,2,Visitante
5,1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,1,1,Local
6,1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,1930,3,3,Local
7,1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,4,4,Visitante
8,1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,3,3,Visitante
9,1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,1930,1,1,Local
10,1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,1930,9,3,Local
11,1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,1,1,Local
12,1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,1930,1,1,Visitante
13,1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,4,4,Visitante
14,1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,1930,4,4,Local
15,1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,1930,4,2,Local
16,1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True,1930,7,5,Local
17,1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False,1930,7,5,Local
18,1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,1930,6,2,Local
19,1934-05-27,Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,True,1934,5,1,Visitante
20,1934-05-27,Austria,France,3,2,FIFA World Cup,Turin,Italy,True,1934,5,1,Local
21,1934-05-27,Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,True,1934,7,3,Visitante
22,1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,1934,4,2,Visitante
23,1934-05-27,Czechoslovakia,Romania,2,1,FIFA World Cup,Trieste,Italy,True,1934,3,1,Local
24,1934-05-27,Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,True,1934,6,2,Visitante
25,1934-05-27,Italy,United States,7,1,FIFA World Cup,Rome,Italy,False,1934,8,6,Local
26,1934-05-27,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,True,1934,5,1,Visitante
27,1934-05-31,Austria,Hungary,2,1,FIFA World Cup,Bologna,Italy,True,1934,3,1,Local
28,1934-05-31,Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,True,1934,5,1,Local
29,1934-05-31,Germany,Sweden,2,1,FIFA World Cup,Milan,Italy,True,1934,3,1,Local
30,1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False,1934,2,0,Empate
31,1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False,1934,1,1,Local
32,1934-06-03,Czechoslovakia,Germany,3,1,FIFA World Cup,Rome,Italy,True,1934,4,2,Local
33,1934-06-03,Italy,Austria,1,0,FIFA World Cup,Milan,Italy,False,1934,1,1,Local
34,1934-06-07,Austria,Germany,2,3,FIFA World Cup,Naples,Italy,True,1934,5,1,Visitante
35,1934-06-10,Italy,Czechoslovakia,2,1,FIFA World Cup,Rome,Italy,False,1934,3,1,Local
36,1938-06-04,Germany,Switzerland,1,1,FIFA World Cup,Paris,France,True,1938,2,0,Empate
37,1938-06-05,Brazil,Poland,6,5,FIFA World Cup,Strasbourg,France,True,1938,11,1,Local
38,1938-06-05,Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True,1938,6,0,Empate
39,1938-06-05,Czechoslovakia,Netherlands,3,0,FIFA World Cup,Le Havre,France,True,1938,3,3,Local
40,1938-06-05,France,Belgium,3,1,FIFA World Cup,Colombes,France,False,1938,4,2,Local
41,1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,Reims,France,True,1938,6,6,Local
42,1938-06-05,Italy,Norway,2,1,FIFA World Cup,Marseille,France,True,1938,3,1,Local
43,1938-06-09,Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True,1938,3,1,Local
44,1938-06-09,Germany,Switzerland,2,4,FIFA World Cup,Paris,France,True,1938,6,2,Visitante
45,1938-06-12,Brazil,Czechoslovakia,1,1,FIFA World Cup,Bordeaux,France,True,1938,2,0,Empate
46,1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,Antibes,France,True,1938,8,8,Visitante
47,1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,False,1938,4,2,Visitante
48,1938-06-12,Hungary,Switzerland,2,0,FIFA World Cup,Lille,France,True,1938,2,2,Local
49,1938-06-14,Brazil,Czechoslovakia,2,1,FIFA World Cup,Bordeaux,France,True,1938,3,1,Local
50,1938-06-16,Brazil,Italy,1,2,FIFA World Cup,Marseille,France,True,1938,3,1,Visitante
51,1938-06-16,Hungary,Sweden,5,1,FIFA World Cup,Paris,France,True,1938,6,4,Local
52,1938-06-19,Brazil,Sweden,4,2,FIFA World Cup,Bordeaux,France,True,1938,6,2,Local
53,1938-06-19,Hungary,Italy,2,4,FIFA World Cup,Colombes,France,True,1938,6,2,Visitante
54,1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,4,4,Local
55,1950-06-25,Chile,England,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,2,2,Visitante
56,1950-06-25,Italy,Sweden,2,3,FIFA World Cup,São Paulo,Brazil,True,1950,5,1,Visitante
57,1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True,1950,4,2,Local
58,1950-06-25,Switzerland,Yugoslavia,0,3,FIFA World Cup,Belo Horizonte,Brazil,True,1950,3,3,Visitante
59,1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,1950,4,0,Empate
60,1950-06-28,Mexico,Yugoslavia,1,4,FIFA World Cup,Porto Alegre,Brazil,True,1950,5,3,Visitante
61,1950-06-29,Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,2,2,Visitante
62,1950-06-29,England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,1950,1,1,Visitante
63,1950-06-29,Paraguay,Sweden,2,2,FIFA World Cup,Curitiba,Brazil,True,1950,4,0,Empate
64,1950-07-01,Brazil,Yugoslavia,2,0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,2,2,Local
65,1950-07-02,Bolivia,Uruguay,0,8,FIFA World Cup,Belo Horizonte,Brazil,True,1950,8,8,Visitante
66,1950-07-02,Chile,United States,5,2,FIFA World Cup,Recife,Brazil,True,1950,7,3,Local
67,1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,1,1,Visitante
68,1950-07-02,Italy,Paraguay,2,0,FIFA World Cup,São Paulo,Brazil,True,1950,2,2,Local
69,1950-07-02,Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,True,1950,3,1,Visitante
70,1950-07-09,Brazil,Sweden,7,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,8,6,Local
71,1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,True,1950,4,0,Empate
72,1950-07-13,Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,7,5,Local
73,1950-07-13,Sweden,Uruguay,2,3,FIFA World Cup,São Paulo,Brazil,True,1950,5,1,Visitante
74,1950-07-16,Brazil,Uruguay,1,2,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,3,1,Visitante
75,1950-07-16,Spain,Sweden,1,3,FIFA World Cup,São Paulo,Brazil,True,1950,4,2,Visitante
76,1954-06-16,Austria,Scotland,1,0,FIFA World Cup,Zürich,Switzerland,True,1954,1,1,Local
77,1954-06-16,Brazil,Mexico,5,0,FIFA World Cup,Geneva,Switzerland,True,1954,5,5,Local
