id_partido,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1,1930-07-13,Belgium,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True
2,1930-07-13,France,Mexico,4.0,1.0,FIFA World Cup,Montevideo,Uruguay,True
3,1930-07-14,Brazil,Yugoslavia,1.0,2.0,FIFA World Cup,Montevideo,Uruguay,True
4,1930-07-14,Peru,Romania,1.0,3.0,FIFA World Cup,Montevideo,Uruguay,True
5,1930-07-15,Argentina,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True
6,1930-07-16,Chile,Mexico,3.0,0.0,FIFA World Cup,Montevideo,Uruguay,True
7,1930-07-17,Bolivia,Yugoslavia,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True
8,1930-07-17,Paraguay,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True
9,1930-07-18,Uruguay,Peru,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,False
10,1930-07-19,Argentina,Mexico,6.0,3.0,FIFA World Cup,Montevideo,Uruguay,True
11,1930-07-19,Chile,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True
12,1930-07-20,Belgium,Paraguay,0.0,1.0,FIFA World Cup,Montevideo,Uruguay,True
13,1930-07-20,Bolivia,Brazil,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True
14,1930-07-21,Uruguay,Romania,4.0,0.0,FIFA World Cup,Montevideo,Uruguay,False
15,1930-07-22,Argentina,Chile,3.0,1.0,FIFA World Cup,Montevideo,Uruguay,True
16,1930-07-26,Argentina,United States,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,True
17,1930-07-27,Uruguay,Yugoslavia,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,False
18,1930-07-30,Uruguay,Argentina,4.0,2.0,FIFA World Cup,Montevideo,Uruguay,False
19,1934-05-27,Argentina,Sweden,2.0,3.0,FIFA World Cup,Bologna,Italy,True
20,1934-05-27,Austria,France,3.0,2.0,FIFA World Cup,Turin,Italy,True
21,1934-05-27,Belgium,Germany,2.0,5.0,FIFA World Cup,Florence,Italy,True
22,1934-05-27,Brazil,Spain,1.0,3.0,FIFA World Cup,Genoa,Italy,True
23,1934-05-27,Czechoslovakia,Romania,2.0,1.0,FIFA World Cup,Trieste,Italy,True
24,1934-05-27,Egypt,Hungary,2.0,4.0,FIFA World Cup,Naples,Italy,True
25,1934-05-27,Italy,United States,7.0,1.0,FIFA World Cup,Rome,Italy,False
26,1934-05-27,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,Milan,Italy,True
27,1934-05-31,Austria,Hungary,2.0,1.0,FIFA World Cup,Bologna,Italy,True
28,1934-05-31,Czechoslovakia,Switzerland,3.0,2.0,FIFA World Cup,Turin,Italy,True
29,1934-05-31,Germany,Sweden,2.0,1.0,FIFA World Cup,Milan,Italy,True
30,1934-05-31,Italy,Spain,1.0,1.0,FIFA World Cup,Florence,Italy,False
31,1934-06-01,Italy,Spain,1.0,0.0,FIFA World Cup,Florence,Italy,False
32,1934-06-03,Czechoslovakia,Germany,3.0,1.0,FIFA World Cup,Rome,Italy,True
33,1934-06-03,Italy,Austria,1.0,0.0,FIFA World Cup,Milan,Italy,False
34,1934-06-07,Austria,Germany,2.0,3.0,FIFA World Cup,Naples,Italy,True
35,1934-06-10,Italy,Czechoslovakia,2.0,1.0,FIFA World Cup,Rome,Italy,False
36,1938-06-04,Germany,Switzerland,1.0,1.0,FIFA World Cup,Paris,France,True
37,1938-06-05,Brazil,Poland,6.0,5.0,FIFA World Cup,Strasbourg,France,True
38,1938-06-05,Cuba,Romania,3.0,3.0,FIFA World Cup,Toulouse,France,True
39,1938-06-05,Czechoslovakia,Netherlands,3.0,0.0,FIFA World Cup,Le Havre,France,True
40,1938-06-05,France,Belgium,3.0,1.0,FIFA World Cup,Colombes,France,False
41,1938-06-05,Hungary,Indonesia,6.0,0.0,FIFA World Cup,Reims,France,True
42,1938-06-05,Italy,Norway,2.0,1.0,FIFA World Cup,Marseille,France,True
43,1938-06-09,Cuba,Romania,2.0,1.0,FIFA World Cup,Toulouse,France,True
44,1938-06-09,Germany,Switzerland,2.0,4.0,FIFA World Cup,Paris,France,True
45,1938-06-12,Brazil,Czechoslovakia,1.0,1.0,FIFA World Cup,Bordeaux,France,True
46,1938-06-12,Cuba,Sweden,0.0,8.0,FIFA World Cup,Antibes,France,True
47,1938-06-12,France,Italy,1.0,3.0,FIFA World Cup,Colombes,France,False
48,1938-06-12,Hungary,Switzerland,2.0,0.0,FIFA World Cup,Lille,France,True
49,1938-06-14,Brazil,Czechoslovakia,2.0,1.0,FIFA World Cup,Bordeaux,France,True
50,1938-06-16,Brazil,Italy,1.0,2.0,FIFA World Cup,Marseille,France,True
51,1938-06-16,Hungary,Sweden,5.0,1.0,FIFA World Cup,Paris,France,True
52,1938-06-19,Brazil,Sweden,4.0,2.0,FIFA World Cup,Bordeaux,France,True
53,1938-06-19,Hungary,Italy,2.0,4.0,FIFA World Cup,Colombes,France,True
54,1950-06-24,Brazil,Mexico,4.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,False
55,1950-06-25,Chile,England,0.0,2.0,FIFA World Cup,Rio de Janeiro,Brazil,True
56,1950-06-25,Italy,Sweden,2.0,3.0,FIFA World Cup,São Paulo,Brazil,True
57,1950-06-25,Spain,United States,3.0,1.0,FIFA World Cup,Curitiba,Brazil,True
58,1950-06-25,Switzerland,Yugoslavia,0.0,3.0,FIFA World Cup,Belo Horizonte,Brazil,True
59,1950-06-28,Brazil,Switzerland,2.0,2.0,FIFA World Cup,São Paulo,Brazil,False
60,1950-06-28,Mexico,Yugoslavia,1.0,4.0,FIFA World Cup,Porto Alegre,Brazil,True
61,1950-06-29,Chile,Spain,0.0,2.0,FIFA World Cup,Rio de Janeiro,Brazil,True
62,1950-06-29,England,United States,0.0,1.0,FIFA World Cup,Belo Horizonte,Brazil,True
63,1950-06-29,Paraguay,Sweden,2.0,2.0,FIFA World Cup,Curitiba,Brazil,True
64,1950-07-01,Brazil,Yugoslavia,2.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,False
65,1950-07-02,Bolivia,Uruguay,0.0,8.0,FIFA World Cup,Belo Horizonte,Brazil,True
66,1950-07-02,Chile,United States,5.0,2.0,FIFA World Cup,Recife,Brazil,True
67,1950-07-02,England,Spain,0.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,True
68,1950-07-02,Italy,Paraguay,2.0,0.0,FIFA World Cup,São Paulo,Brazil,True
69,1950-07-02,Mexico,Switzerland,1.0,2.0,FIFA World Cup,Porto Alegre,Brazil,True
